Account,classification,long USD size,short USD size,acc_sent_l/s_ratio,acc_max_lr_ratio,der_lr_ratio
28,Neutral,1001437.99,6573558.97,0.1523433492527108,16.897322246111898,0.009015827894728426
30,Extreme Fear,951245.35,681377.92,1.396061307651413,3.425195241449736,0.40758590656587534
30,Extreme Greed,202072.0,556417.22,0.3631663304741,3.425195241449736,0.10602792100119451
30,Fear,4605438.46,1349361.41,3.4130503702488424,3.425195241449736,0.9964542543286515
30,Greed,280786.18,2619617.62,0.10718594112983558,3.425195241449736,0.031293381420344504
30,Neutral,1808178.79,527905.32,3.425195241449736,3.425195241449736,1.0
31,Extreme Fear,433927.15,1657376.87,0.2618156183149823,1.2802527748680868,0.20450306646822847
31,Extreme Greed,127410.75,1898584.93,0.06710826994713373,1.2802527748680868,0.05241798437347527
31,Fear,7494356.24,5853809.8,1.2802527748680868,1.2802527748680868,1.0
31,Greed,547751.5,5316396.22,0.10303060143248692,1.2802527748680868,0.08047676478819027
31,Neutral,5563564.29,5073030.53,1.0966944230079372,1.2802527748680868,0.8566233516821997
